Satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Food and drink,Gate location,Inflight entertainment,Ease of Online booking,Baggage handling,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
satisfied,Female,Loyal Customer,14,Personal Travel,Business,1560,5,5,5,1,4,4,4,0,0
satisfied,Female,Loyal Customer,14,Personal Travel,Business,1280,4,4,4,4,4,4,4,0,0
dissatisfied,Male,Loyal Customer,70,Personal Travel,Business,389,2,2,1,1,3,3,5,0,0
dissatisfied,Male,Loyal Customer,16,Personal Travel,Business,1408,2,2,1,2,2,5,2,21,26
dissatisfied,Male,Loyal Customer,57,Personal Travel,Business,341,2,2,1,4,5,5,4,5,0
satisfied,Female,Loyal Customer,49,Personal Travel,Business,322,3,3,3,4,4,5,4,9,5
dissatisfied,Male,Loyal Customer,19,Personal Travel,Business,1908,2,2,1,2,2,5,2,0,0
dissatisfied,Male,Loyal Customer,21,Personal Travel,Business,2062,2,2,1,2,1,5,1,0,0
satisfied,Female,Loyal Customer,46,Personal Travel,Business,109,1,1,1,4,4,4,3,0,25
dissatisfied,Male,Loyal Customer,60,Personal Travel,Business,2376,2,2,2,4,1,1,5,8,28
dissatisfied,Male,Loyal Customer,64,Personal Travel,Business,2298,2,2,2,4,5,5,3,13,0
satisfied,Female,Loyal Customer,37,Personal Travel,Business,2080,5,5,5,4,4,4,5,0,0
dissatisfied,Male,Loyal Customer,40,Personal Travel,Business,1758,2,2,2,3,4,4,5,0,0
satisfied,Female,Loyal Customer,7,Personal Travel,Business,2836,4,4,4,5,4,4,3,0,0
satisfied,Female,Loyal Customer,16,Personal Travel,Business,2258,4,4,4,4,4,4,5,10,0
satisfied,Female,Loyal Customer,15,Personal Travel,Business,2567,2,3,2,5,4,4,5,0,2
dissatisfied,Male,Loyal Customer,38,Personal Travel,Business,1238,2,2,2,5,4,4,5,0,0
satisfied,Female,Loyal Customer,23,Personal Travel,Business,2587,1,1,1,4,4,4,5,0,0
satisfied,Female,Loyal Customer,9,Personal Travel,Business,2468,4,4,4,4,4,4,5,7,7
dissatisfied,Male,Loyal Customer,42,Personal Travel,Business,1178,2,2,2,4,2,2,3,0,0
dissatisfied,Male,Loyal Customer,38,Personal Travel,Business,1164,2,2,2,4,3,3,5,0,0
dissatisfied,Male,Loyal Customer,22,Personal Travel,Business,2724,2,2,2,2,4,4,4,0,0
dissatisfied,Male,Loyal Customer,53,Personal Travel,Business,1041,2,2,2,3,3,3,2,0,12
satisfied,Female,Loyal Customer,67,Personal Travel,Business,959,4,5,5,4,4,5,4,47,52
satisfied,Female,Loyal Customer,47,Personal Travel,Business,929,4,4,4,2,4,4,2,13,0
satisfied,Female,Loyal Customer,65,Personal Travel,Business,920,2,4,2,4,4,5,4,7,11
satisfied,Female,Loyal Customer,57,Personal Travel,Business,806,1,4,1,5,4,4,5,0,31
dissatisfied,Male,Loyal Customer,46,Personal Travel,Business,776,2,2,2,5,2,2,4,6,4
dissatisfied,Male,Loyal Customer,60,Personal Travel,Business,786,2,2,2,1,3,3,3,28,41
dissatisfied,Male,Loyal Customer,19,Personal Travel,Business,1606,2,2,2,2,4,4,4,0,0
satisfied,Female,Loyal Customer,52,Personal Travel,Business,672,4,4,4,4,4,4,3,10,0
satisfied,Female,Loyal Customer,21,Personal Travel,Business,1831,1,1,1,2,4,4,5,14,4
satisfied,Female,Loyal Customer,70,Personal Travel,Business,495,4,4,4,4,4,4,1,0,0
dissatisfied,Male,Loyal Customer,47,Personal Travel,Business,448,2,2,2,4,4,2,5,0,19
dissatisfied,Male,Loyal Customer,68,Personal Travel,Business,425,2,2,2,5,1,1,3,0,0
satisfied,Female,Loyal Customer,41,Personal Travel,Business,379,1,1,1,5,4,4,5,13,10
dissatisfied,Male,Loyal Customer,33,Personal Travel,Business,1564,2,2,2,2,2,4,2,18,24
satisfied,Female,Loyal Customer,30,Personal Travel,Business,1580,5,5,5,5,4,4,3,0,0
satisfied,Female,Loyal Customer,66,Personal Travel,Business,341,1,5,1,5,4,4,4,4,72
dissatisfied,Male,Loyal Customer,40,Personal Travel,Business,310,2,2,2,4,1,1,2,3,0
satisfied,Female,Loyal Customer,58,Personal Travel,Business,266,5,5,5,4,4,4,3,0,0
satisfied,Female,Loyal Customer,16,Personal Travel,Business,1546,1,1,1,4,4,1,4,78,73
dissatisfied,Male,Loyal Customer,62,Personal Travel,Business,214,2,2,2,5,3,3,4,2,14
satisfied,Female,Loyal Customer,31,Personal Travel,Business,3300,1,4,1,4,4,4,4,3,0
satisfied,Female,Loyal Customer,33,Personal Travel,Business,1764,5,5,5,4,4,4,2,0,0
satisfied,Female,Loyal Customer,35,Personal Travel,Business,1634,4,4,4,2,4,4,5,0,0
dissatisfied,Male,Loyal Customer,68,Personal Travel,Business,1567,2,2,3,5,2,2,4,0,9
dissatisfied,Male,Loyal Customer,21,Personal Travel,Business,2457,2,2,3,2,1,3,1,32,36
satisfied,Female,Loyal Customer,68,Personal Travel,Business,1442,5,5,5,2,4,4,3,60,20
dissatisfied,Male,Loyal Customer,35,Personal Travel,Business,1374,2,2,3,5,5,5,5,2,9
dissatisfied,Male,Loyal Customer,7,Personal Travel,Business,2200,2,2,3,2,1,3,1,0,0
dissatisfied,Male,Loyal Customer,55,Personal Travel,Business,1186,2,2,3,4,4,4,3,0,5
dissatisfied,Male,Loyal Customer,31,Personal Travel,Business,2583,2,2,3,2,3,5,3,0,7
satisfied,Female,Loyal Customer,38,Personal Travel,Business,1109,4,4,4,4,4,4,3,5,0
dissatisfied,Male,Loyal Customer,29,Personal Travel,Business,1829,2,2,3,2,3,5,3,1,0
dissatisfied,Male,Loyal Customer,38,Personal Travel,Business,1076,2,2,3,4,3,1,3,0,0
satisfied,Female,Loyal Customer,30,Personal Travel,Business,2405,4,4,4,5,4,4,3,34,19
dissatisfied,Male,Loyal Customer,59,Personal Travel,Business,1090,2,2,3,5,1,1,3,11,10
dissatisfied,Male,Loyal Customer,7,Personal Travel,Business,1840,2,2,3,2,4,5,4,0,0
satisfied,Female,Loyal Customer,36,Personal Travel,Business,1005,3,3,3,4,4,1,4,26,23
dissatisfied,Male,Loyal Customer,44,Personal Travel,Business,876,2,2,3,4,3,3,5,9,0
dissatisfied,Male,Loyal Customer,18,Personal Travel,Business,1674,2,2,3,2,4,1,4,127,120
satisfied,Female,Loyal Customer,37,Personal Travel,Business,784,1,1,1,5,4,4,3,0,2
dissatisfied,Male,Loyal Customer,22,Personal Travel,Business,1761,2,2,3,2,2,5,2,0,0
dissatisfied,Male,Loyal Customer,59,Personal Travel,Business,696,2,2,3,5,2,2,3,0,0
dissatisfied,Female,Loyal Customer,68,Personal Travel,Business,2230,2,2,3,5,4,4,5,130,110
dissatisfied,Male,Loyal Customer,13,Personal Travel,Business,2484,2,2,3,2,1,2,1,0,9
satisfied,Female,Loyal Customer,47,Personal Travel,Business,652,3,3,3,3,4,4,1,0,0
satisfied,Female,Loyal Customer,70,Personal Travel,Business,656,4,5,5,4,4,2,4,66,38
dissatisfied,Male,Loyal Customer,12,Personal Travel,Business,1815,2,2,3,2,4,3,4,56,60
satisfied,Female,Loyal Customer,55,Personal Travel,Business,636,5,5,5,4,4,4,5,22,14
satisfied,Female,Loyal Customer,51,Personal Travel,Business,607,4,1,4,5,4,4,4,0,0
satisfied,Female,Loyal Customer,17,Personal Travel,Business,2002,1,1,1,4,4,4,4,0,0
dissatisfied,Male,Loyal Customer,14,Personal Travel,Business,2021,2,2,3,2,4,5,4,17,21
satisfied,Female,Loyal Customer,64,Personal Travel,Business,539,5,5,5,5,4,4,1,0,0
dissatisfied,Male,Loyal Customer,47,Personal Travel,Business,469,2,2,3,3,1,2,4,0,0
satisfied,Female,Loyal Customer,55,Personal Travel,Business,484,1,1,1,5,4,4,4,0,0
dissatisfied,Male,Loyal Customer,70,Personal Travel,Business,417,2,2,3,5,5,5,3,0,0
dissatisfied,Male,Loyal Customer,21,Personal Travel,Business,1284,2,2,3,2,1,3,1,0,0
satisfied,Female,Loyal Customer,35,Personal Travel,Business,408,4,2,2,4,4,4,4,0,0
dissatisfied,Male,Loyal Customer,47,Personal Travel,Business,400,2,2,3,4,4,4,3,4,0
satisfied,Female,Loyal Customer,62,Personal Travel,Business,359,2,2,2,4,4,4,3,0,0
satisfied,Female,Loyal Customer,67,Personal Travel,Business,364,4,4,4,4,4,5,4,0,0
satisfied,Female,Loyal Customer,69,Personal Travel,Business,357,2,2,2,5,4,4,4,0,17
dissatisfied,Male,Loyal Customer,34,Personal Travel,Business,371,2,2,3,5,5,5,4,0,0
satisfied,Female,Loyal Customer,37,Personal Travel,Business,299,3,3,3,5,4,4,2,0,0
satisfied,Female,Loyal Customer,37,Personal Travel,Business,268,2,2,2,4,4,4,5,7,8
satisfied,Female,Loyal Customer,46,Personal Travel,Business,259,5,5,5,4,4,4,5,0,0
satisfied,Female,Loyal Customer,41,Personal Travel,Business,261,3,3,3,4,4,4,5,8,0
dissatisfied,Male,Loyal Customer,15,Personal Travel,Business,1651,2,2,3,2,4,5,4,13,0
dissatisfied,Male,Loyal Customer,70,Personal Travel,Business,203,2,2,3,1,3,3,5,2,0
dissatisfied,Male,Loyal Customer,51,Personal Travel,Business,242,2,2,3,5,3,3,4,20,22
dissatisfied,Male,Loyal Customer,38,Personal Travel,Business,91,2,2,3,4,1,1,4,1,0
satisfied,Female,Loyal Customer,36,Personal Travel,Business,209,4,4,4,1,5,4,2,0,0
satisfied,Female,Loyal Customer,39,Personal Travel,Business,90,1,1,1,4,5,4,5,0,0
satisfied,Female,Loyal Customer,23,Personal Travel,Business,1388,5,5,5,5,3,5,5,0,0
dissatisfied,Male,Loyal Customer,63,Personal Travel,Business,60,2,2,3,5,3,3,5,61,65
satisfied,Female,Loyal Customer,65,Personal Travel,Business,2600,1,2,1,4,4,5,5,0,0
satisfied,Female,Loyal Customer,46,Personal Travel,Business,2600,1,1,1,5,4,5,3,0,0
dissatisfied,Male,Loyal Customer,16,Personal Travel,Business,3554,2,2,4,3,3,4,3,0,0
satisfied,Female,Loyal Customer,48,Personal Travel,Business,1744,1,1,1,1,4,5,2,6,0
dissatisfied,Male,Loyal Customer,33,Personal Travel,Business,2872,2,2,4,2,4,5,4,92,70
satisfied,Female,Loyal Customer,67,Personal Travel,Business,1625,4,4,4,4,4,5,3,0,0
dissatisfied,Male,Loyal Customer,65,Personal Travel,Business,1610,2,2,4,4,2,2,3,0,0
satisfied,Female,Loyal Customer,25,Personal Travel,Business,2699,5,5,5,5,4,5,3,23,44
satisfied,Female,Loyal Customer,29,Personal Travel,Business,2514,1,4,1,4,4,5,5,16,13
dissatisfied,Male,Loyal Customer,16,Personal Travel,Business,3158,2,2,4,2,5,3,5,0,0
dissatisfied,Male,Loyal Customer,60,Personal Travel,Business,1212,2,2,4,5,5,5,4,6,0
satisfied,Female,Loyal Customer,32,Personal Travel,Business,2140,1,1,1,4,4,5,4,2,0
satisfied,Female,Loyal Customer,15,Personal Travel,Business,2659,2,2,2,4,4,4,4,0,0
satisfied,Female,Loyal Customer,14,Personal Travel,Business,2586,4,4,4,4,4,1,4,66,36
satisfied,Female,Loyal Customer,48,Personal Travel,Business,1040,1,1,1,5,4,5,3,13,13
dissatisfied,Male,Loyal Customer,17,Personal Travel,Business,2330,2,2,4,2,1,2,1,2,0
satisfied,Female,Loyal Customer,57,Personal Travel,Business,1033,2,2,2,2,4,5,3,82,67
satisfied,Female,Loyal Customer,53,Personal Travel,Business,959,4,4,4,5,4,5,5,0,28
satisfied,Female,Loyal Customer,23,Personal Travel,Business,1977,4,4,5,4,4,4,4,2,1
satisfied,Female,Loyal Customer,22,Personal Travel,Business,2434,5,5,5,5,4,5,3,0,3
satisfied,Female,Loyal Customer,56,Personal Travel,Business,936,4,4,4,4,4,5,5,2,0
satisfied,Female,Loyal Customer,34,Personal Travel,Business,926,4,4,4,4,4,5,5,0,0
dissatisfied,Male,Loyal Customer,17,Personal Travel,Business,2345,2,2,4,2,1,4,1,67,64
satisfied,Female,Loyal Customer,33,Personal Travel,Business,895,1,1,1,5,4,5,3,6,2
dissatisfied,Male,Loyal Customer,33,Personal Travel,Business,1857,2,2,4,2,3,5,3,51,76
satisfied,Female,Loyal Customer,52,Personal Travel,Business,775,5,5,5,5,4,5,1,0,0
satisfied,Female,Loyal Customer,36,Personal Travel,Business,724,5,5,5,4,4,5,5,0,0
satisfied,Female,Loyal Customer,17,Personal Travel,Business,2160,1,1,1,5,4,5,5,0,0
dissatisfied,Male,Loyal Customer,21,Personal Travel,Business,1821,2,2,4,2,4,5,4,46,58
satisfied,Female,Loyal Customer,,Personal Travel,Business,663,1,1,1,5,4,5,5,100,87
satisfied,Female,Loyal Customer,10,Personal Travel,Business,1647,4,4,4,4,5,5,3,0,0
dissatisfied,Male,Loyal Customer,68,Personal Travel,Business,558,2,2,4,1,3,3,3,0,0
dissatisfied,Male,Loyal Customer,61,Personal Travel,Business,428,2,2,4,1,5,5,1,14,0
dissatisfied,Male,Loyal Customer,52,Personal Travel,Business,449,2,2,4,4,3,3,4,6,0
dissatisfied,Male,Loyal Customer,13,Personal Travel,Business,1766,2,2,4,2,5,4,5,0,2
dissatisfied,Male,Loyal Customer,8,Personal Travel,Business,1599,2,2,4,2,5,5,5,2,0
satisfied,Female,Loyal Customer,28,Personal Travel,Business,1955,5,5,5,5,5,5,4,14,6
dissatisfied,Male,Loyal Customer,47,Personal Travel,Business,396,2,2,4,4,3,3,4,0,0
dissatisfied,Male,Loyal Customer,37,Personal Travel,Business,411,2,2,4,4,5,5,3,0,12
satisfied,Female,Loyal Customer,26,Personal Travel,Business,1223,1,1,1,3,5,5,5,0,0
dissatisfied,Male,Loyal Customer,52,Personal Travel,Business,353,2,2,4,4,2,2,5,0,0
satisfied,Female,Loyal Customer,24,Personal Travel,Business,1416,3,3,3,5,5,5,4,27,22
dissatisfied,Male,Loyal Customer,7,Personal Travel,Business,1892,2,2,4,2,1,3,1,76,73
satisfied,Female,Loyal Customer,9,Personal Travel,Business,1846,2,2,2,4,5,2,5,0,0
dissatisfied,Male,Loyal Customer,52,Personal Travel,Business,270,2,2,4,5,5,5,3,0,7
dissatisfied,Male,Loyal Customer,7,Personal Travel,Business,1744,2,2,4,2,1,4,1,2,0
satisfied,Female,Loyal Customer,45,Personal Travel,Business,2599,2,2,2,3,5,5,5,0,0
satisfied,Female,Loyal Customer,23,Personal Travel,Business,3330,4,5,4,3,5,5,5,0,4
dissatisfied,Male,Loyal Customer,30,Personal Travel,Business,2358,2,2,5,2,3,4,3,4,0
dissatisfied,Male,Loyal Customer,59,Personal Travel,Business,1648,2,2,5,3,2,2,4,41,19
satisfied,Female,Loyal Customer,41,Personal Travel,Business,1279,3,3,3,5,5,5,5,45,72
satisfied,Female,Loyal Customer,46,Personal Travel,Business,1212,5,5,5,5,5,5,4,0,0
satisfied,Female,Loyal Customer,41,Personal Travel,Business,1104,4,3,4,5,5,5,4,0,10
dissatisfied,Male,Loyal Customer,10,Personal Travel,Business,2120,2,2,5,2,3,2,3,32,24
dissatisfied,Male,Loyal Customer,17,Personal Travel,Business,1967,2,2,5,2,2,5,2,12,34
satisfied,Female,Loyal Customer,66,Personal Travel,Business,792,2,2,2,4,5,5,3,12,0
satisfied,Female,Loyal Customer,48,Personal Travel,Business,780,2,2,2,5,5,5,5,14,2
dissatisfied,Male,Loyal Customer,32,Personal Travel,Business,1738,2,2,5,2,2,5,2,0,1
dissatisfied,Female,Loyal Customer,37,Personal Travel,Business,2435,2,2,5,3,4,5,3,154,140
satisfied,Female,Loyal Customer,27,Personal Travel,Business,1992,2,2,2,4,5,5,5,0,0
satisfied,Female,Loyal Customer,25,Personal Travel,Business,2025,3,3,3,4,5,5,5,18,43
satisfied,Female,Loyal Customer,11,Personal Travel,Business,1874,1,1,1,4,5,5,4,0,2
satisfied,Female,Loyal Customer,37,Personal Travel,Business,523,1,1,1,4,5,5,5,0,0
dissatisfied,Male,Loyal Customer,21,Personal Travel,Business,1496,2,2,5,2,4,4,4,0,0
satisfied,Female,Loyal Customer,7,Personal Travel,Business,1821,4,4,4,5,5,5,4,0,0
dissatisfied,Male,Loyal Customer,13,Personal Travel,Business,1644,2,2,5,2,2,5,2,0,0
satisfied,Female,Loyal Customer,52,Personal Travel,Business,350,2,3,2,4,5,5,4,6,16
dissatisfied,Male,Loyal Customer,68,Personal Travel,Business,273,2,2,5,3,5,5,2,5,1
satisfied,Female,Loyal Customer,18,Personal Travel,Business,2026,4,4,4,5,1,3,5,53,49
dissatisfied,Male,Loyal Customer,28,Personal Travel,Business,1932,2,3,1,3,3,4,3,0,0
dissatisfied,Male,Loyal Customer,63,Personal Travel,Business,368,2,3,1,5,4,4,4,9,8
dissatisfied,Male,Loyal Customer,53,Personal Travel,Business,1960,2,3,2,3,4,4,5,0,0
dissatisfied,Male,Loyal Customer,17,Personal Travel,Business,2632,2,3,2,3,4,4,4,0,0
dissatisfied,Male,Loyal Customer,36,Personal Travel,Business,898,2,3,3,4,4,2,5,12,14
dissatisfied,Male,Loyal Customer,25,Personal Travel,Business,2195,2,3,3,3,2,5,2,0,0
dissatisfied,Male,Loyal Customer,56,Personal Travel,Business,1037,2,3,4,4,1,1,4,0,8
dissatisfied,Male,Loyal Customer,30,Personal Travel,Business,2580,2,3,4,3,2,5,2,0,0
dissatisfied,Male,Loyal Customer,31,Personal Travel,Business,1849,2,3,4,3,5,2,5,63,68
dissatisfied,Male,Loyal Customer,69,Personal Travel,Business,706,2,3,5,4,4,1,3,3,11
dissatisfied,Male,Loyal Customer,66,Personal Travel,Business,527,2,3,5,5,4,4,5,0,3
satisfied,Female,Loyal Customer,24,Personal Travel,Business,1298,5,1,1,5,5,1,5,0,0
satisfied,Female,Loyal Customer,51,Personal Travel,Business,341,1,1,1,5,4,4,5,0,0
dissatisfied,Male,Loyal Customer,29,Personal Travel,Business,1784,2,5,1,5,4,4,4,0,0
satisfied,Female,Loyal Customer,66,Personal Travel,Business,472,4,4,4,5,4,4,4,65,70
satisfied,Female,Loyal Customer,18,Personal Travel,Business,1446,5,1,1,5,4,4,1,0,0
satisfied,Female,Loyal Customer,62,Personal Travel,Business,413,4,4,4,5,4,4,5,71,103
satisfied,Female,Loyal Customer,30,Personal Travel,Business,1745,5,5,5,2,4,4,1,0,0
satisfied,Female,Loyal Customer,59,Personal Travel,Business,598,5,5,5,4,4,4,3,82,77
dissatisfied,Male,Loyal Customer,12,Personal Travel,Business,2349,3,3,1,3,1,5,1,0,0
dissatisfied,Male,Loyal Customer,52,Personal Travel,Business,440,3,3,1,4,4,4,3,0,0
dissatisfied,Male,Loyal Customer,24,Personal Travel,Business,3734,3,3,2,3,3,4,3,0,0
dissatisfied,Male,Loyal Customer,51,Personal Travel,Business,850,3,3,2,5,1,1,5,0,0
satisfied,Female,Loyal Customer,61,Personal Travel,Business,587,2,2,2,4,4,4,3,0,51
satisfied,Female,Loyal Customer,68,Personal Travel,Business,490,5,3,3,1,4,4,5,5,0
satisfied,Female,Loyal Customer,35,Personal Travel,Business,328,2,2,2,5,4,4,4,0,0
dissatisfied,Male,Loyal Customer,58,Personal Travel,Business,279,3,3,2,5,2,2,4,0,0
satisfied,Female,Loyal Customer,20,Personal Travel,Business,1434,3,3,3,5,4,4,4,2,29
satisfied,Female,Loyal Customer,8,Personal Travel,Business,4642,4,4,4,5,4,4,3,1,49
satisfied,Female,Loyal Customer,51,Personal Travel,Business,1679,1,1,1,5,4,4,3,3,0
dissatisfied,Male,Loyal Customer,52,Personal Travel,Business,639,3,3,3,5,1,1,3,0,0
satisfied,Female,Loyal Customer,70,Personal Travel,Business,557,4,4,4,4,4,4,3,1,0
satisfied,Female,Loyal Customer,10,Personal Travel,Business,2110,5,1,1,2,4,4,1,24,17
satisfied,Female,Loyal Customer,23,Personal Travel,Business,1465,2,2,2,4,4,4,3,0,0
dissatisfied,Male,Loyal Customer,26,Personal Travel,Business,1362,3,3,3,3,1,4,1,0,0
satisfied,Female,Loyal Customer,64,Personal Travel,Business,404,3,3,3,5,4,4,5,0,0
satisfied,Female,Loyal Customer,46,Personal Travel,Business,344,4,4,4,5,4,5,4,0,0
satisfied,Female,Loyal Customer,45,Personal Travel,Business,310,2,2,2,4,4,4,4,0,0
satisfied,Female,Loyal Customer,67,Personal Travel,Business,257,5,3,3,2,4,4,2,0,0
dissatisfied,Male,Loyal Customer,19,Personal Travel,Business,2005,3,3,3,3,2,4,2,20,37
satisfied,Female,Loyal Customer,30,Personal Travel,Business,3279,5,5,5,5,4,4,5,117,85
satisfied,Female,Loyal Customer,26,Personal Travel,Business,2647,1,1,1,4,4,4,3,0,0
dissatisfied,Male,Loyal Customer,69,Personal Travel,Business,857,3,3,4,5,1,4,4,8,3
satisfied,Female,Loyal Customer,29,Personal Travel,Business,1381,4,4,4,4,4,4,5,0,6
dissatisfied,Male,Loyal Customer,59,Personal Travel,Business,331,3,3,4,4,1,1,3,10,0
dissatisfied,Male,Loyal Customer,33,Personal Travel,Business,1895,3,3,5,3,5,5,5,0,0
satisfied,Female,Loyal Customer,61,Personal Travel,Business,1712,3,3,3,5,4,4,5,0,0
satisfied,Female,Loyal Customer,54,Personal Travel,Business,605,5,3,3,4,4,4,1,0,0
dissatisfied,Male,Loyal Customer,63,Personal Travel,Business,325,3,4,4,4,5,5,5,27,16
satisfied,Female,Loyal Customer,14,Personal Travel,Business,2024,4,4,4,4,4,4,4,0,0
dissatisfied,Male,Loyal Customer,11,Personal Travel,Business,1999,3,1,3,1,3,3,3,0,12
dissatisfied,Male,Loyal Customer,53,Personal Travel,Business,2128,3,2,1,1,5,5,3,21,33
dissatisfied,Male,Loyal Customer,65,Personal Travel,Business,1234,3,2,3,4,2,2,4,46,44
satisfied,Female,Loyal Customer,64,Personal Travel,Business,1066,4,1,4,5,4,4,5,0,0
satisfied,Female,Loyal Customer,42,Personal Travel,Business,849,2,4,2,5,4,4,3,0,0
dissatisfied,Male,Loyal Customer,58,Personal Travel,Business,1215,3,3,1,2,4,4,4,53,61
